time,open,high,low,close,#1,#2,#3,#5
1761247980,25271.25,25271.75,25264.75,25266.75,25012.25,25065.75,24843,21269
1761248160,25266.75,25268.75,25256.25,25267.25,25012.25,25065.75,24843,21269
1761248340,25267.5,25269,25258.75,25259.25,25012.25,25065.75,24843,21269
1761248520,25259.5,25264,25253.25,25256.5,25012.25,25065.75,24843,21269
1761248700,25256.5,25268.75,25254.25,25259,25012.25,25065.75,24843,21269
1761248880,25258.5,25262,25230.5,25240.75,25012.25,25065.75,24843,21269
1761249060,25240.5,25253,25236.25,25250.5,25012.25,25065.75,24843,21269
1761249240,25250.25,25259.5,25242.5,25254,25012.25,25065.75,24843,21269
1761249420,25254,25265,25245.75,25253,25012.25,25065.75,24843,21269
1761249600,25252.5,25263.25,25247.5,25260.5,25012.25,25065.75,24843,21269
1761249780,25260.5,25281,25259,25275,25012.25,25065.75,24843,21269
1761249960,25275,25275.75,25253,25264.5,25012.25,25065.75,24843,21269
1761250140,25265,25272.5,25263.5,25272.25,25012.25,25065.75,24843,21269
1761250320,25272.5,25273.5,25265.75,25268,25012.25,25065.75,24843,21269
1761250500,25268,25271.5,25264,25265.25,25012.25,25065.75,24843,21269
1761250680,25265,25270,25264,25270,25012.25,25065.75,24843,21269
1761250860,25270,25272.75,25269,25270.25,25012.25,25065.75,24843,21269
1761251040,25270.25,25275.25,25270.25,25271.5,25012.25,25065.75,24843,21269
1761251220,25271.5,25274.75,25270.5,25273,25012.25,25065.75,24843,21269
1761251400,25272.75,25287.5,25270.25,25286.75,25012.25,25065.75,24843,21269
1761251580,25287,25296,25283.5,25287.75,25012.25,25065.75,24843,21269
1761251760,25287.75,25290,25282.75,25285.75,25012.25,25065.75,24843,21269
1761251940,25286.25,25286.75,25284,25284.25,25012.25,25065.75,24843,21269
1761252120,25284,25284.75,25281.25,25282.5,25012.25,25065.75,24843,21269
1761252300,25282,25285,25280,25283.5,25012.25,25065.75,24843,21269
1761252480,25283.25,25284.25,25266.5,25266.5,25012.25,25065.75,24843,21269
1761252660,25266.5,25276,25265.25,25274.5,25012.25,25065.75,24843,21269
1761252840,25274.5,25275.75,25271.5,25272,25012.25,25065.75,24843,21269
1761253020,25271.75,25278,25271.5,25278,25012.25,25065.75,24843,21269
1761256800,25283.25,25298.25,25276,25286.25,25283.25,25065.75,24843,21269
1761256980,25286.25,25300.75,25286.25,25294.75,25283.25,25065.75,24843,21269
1761257160,25293.75,25294.75,25289.5,25292,25283.25,25065.75,24843,21269
1761257340,25290.5,25300,25288.25,25297.75,25283.25,25065.75,24843,21269
1761257520,25297.75,25297.75,25290.25,25292.5,25283.25,25065.75,24843,21269
1761257700,25292.25,25296.5,25291.5,25296.5,25283.25,25065.75,24843,21269
1761257880,25296.5,25299.75,25292,25296.5,25283.25,25065.75,24843,21269
1761258060,25297,25298,25289.5,25290.75,25283.25,25065.75,24843,21269
1761258240,25290.25,25295.25,25290.25,25294.5,25283.25,25065.75,24843,21269
1761258420,25295.25,25296.75,25292,25292,25283.25,25065.75,24843,21269
1761258600,25294.25,25300.75,25294.25,25298.25,25283.25,25065.75,24843,21269
1761258780,25298.25,25298.75,25294.75,25297.5,25283.25,25065.75,24843,21269
1761258960,25297.75,25302.75,25297.25,25301.75,25283.25,25065.75,24843,21269
1761259140,25301.75,25303,25292.25,25295.5,25283.25,25065.75,24843,21269
1761259320,25295.25,25296.5,25292.25,25295.25,25283.25,25065.75,24843,21269
1761259500,25297,25298,25289.5,25291,25283.25,25065.75,24843,21269
1761259680,25291,25292.75,25288.25,25290.5,25283.25,25065.75,24843,21269
1761259860,25291,25293,25288.75,25290.75,25283.25,25065.75,24843,21269
1761260040,25290.75,25293,25289.5,25291,25283.25,25065.75,24843,21269
1761260220,25291.25,25292.25,25289.25,25291.75,25283.25,25065.75,24843,21269
1761260400,25291.75,25301.25,25291,25294.75,25283.25,25065.75,24843,21269
1761260580,25294,25298,25293.25,25297.5,25283.25,25065.75,24843,21269
1761260760,25297.25,25299.75,25295.75,25296,25283.25,25065.75,24843,21269
1761260940,25295.25,25300.25,25295,25298.75,25283.25,25065.75,24843,21269
1761261120,25299.25,25301.75,25297.25,25299,25283.25,25065.75,24843,21269
1761261300,25297.75,25300.5,25295.25,25299.5,25283.25,25065.75,24843,21269
1761261480,25299.5,25300,25294.5,25294.75,25283.25,25065.75,24843,21269
1761261660,25295.25,25299,25294.5,25297.5,25283.25,25065.75,24843,21269
1761261840,25298.25,25300.5,25296.75,25299.75,25283.25,25065.75,24843,21269
1761262020,25299.25,25300,25296.5,25297.75,25283.25,25065.75,24843,21269
1761262200,25297.5,25300,25296,25296.75,25283.25,25065.75,24843,21269
1761262380,25296.25,25298.5,25296.25,25297.5,25283.25,25065.75,24843,21269
1761262560,25297,25301.75,25297,25300,25283.25,25065.75,24843,21269
1761262740,25301.25,25301.5,25298,25298.75,25283.25,25065.75,24843,21269
1761262920,25298.5,25300.25,25297,25297.25,25283.25,25065.75,24843,21269
1761263100,25298.5,25304.5,25296.75,25300,25283.25,25065.75,24843,21269
1761263280,25300,25302.5,25298.75,25300,25283.25,25065.75,24843,21269
1761263460,25299.75,25300.25,25297,25297.75,25283.25,25065.75,24843,21269
1761263640,25299,25299,25296,25296.25,25283.25,25065.75,24843,21269
1761263820,25297,25300,25294.25,25297.25,25283.25,25065.75,24843,21269
1761264000,25298.25,25304.75,25295.75,25304.25,25283.25,25065.75,24843,21269
1761264180,25304.25,25305.5,25298.75,25299.25,25283.25,25065.75,24843,21269
1761264360,25298.5,25298.5,25290.25,25295.25,25283.25,25065.75,24843,21269
1761264540,25295,25295,25286.5,25288.5,25283.25,25065.75,24843,21269
1761264720,25286.5,25294.5,25284.75,25290.75,25283.25,25065.75,24843,21269
1761264900,25291,25296.75,25290,25292.25,25283.25,25065.75,24843,21269
1761265080,25292.5,25294.75,25291.5,25292.75,25283.25,25065.75,24843,21269
1761265260,25294.5,25295.25,25290.25,25291,25283.25,25065.75,24843,21269
1761265440,25291.5,25292.5,25289.5,25290,25283.25,25065.75,24843,21269
1761265620,25290.5,25295,25290.25,25292.5,25283.25,25065.75,24843,21269
1761265800,25292.75,25303,25292.5,25300.5,25283.25,25065.75,24843,21269
1761265980,25299.75,25304.25,25296,25301,25283.25,25065.75,24843,21269
1761266160,25300.75,25302.5,25295.75,25296.75,25283.25,25065.75,24843,21269
1761266340,25296.75,25301,25296,25297.75,25283.25,25065.75,24843,21269
1761266520,25297.25,25300.75,25294.25,25299.25,25283.25,25065.75,24843,21269
